Title,year,Genre,Lead Cast,Director,Positive out of 10 Representation,Focus Area,Box Office Revenue (in M),community,Label
echoes  eternity,13-09-1984,thriller,emma garcia olivia johnson,daniel ford,7.67,disability,152.56,european,echoes  eternity _european
lost   stars,20-11-2004,scifi,liam hernandez mia hernandez,michael carter,6.12,cultural,322.11,american,lost   stars _american
legends   fallen,14-01-1980,comedy,liam davis emma brown,emily adams,8.91,age,357.34,european,legends   fallen _european
breaking chains,23-07-1998,comedy,liam jones isabella smith,emily adams,8.86,age,21.82,european,breaking chains _european
forgotten voyage,13-08-2017,comedy,liam miller mia davis,daniel ford,6.16,lgbtq,290.23,european,forgotten voyage _european
breaking chains,27-02-1984,drama,liam miller olivia davis,emily adams,9.83,gender,497.85,european,breaking chains _european
shadows rising,03-07-2015,documentary,noah davis isabella brown,daniel ford,7.94,cultural,105.85,european,shadows rising _european
forgotten voyage,26-03-2012,action,liam garcia sophia davis,laura scott,7.76,cultural,24.4,African,forgotten voyage _African
secrets   valley,11-01-2017,drama,liam davis mia martinez,michael carter,6.09,disability,339.37,american,secrets   valley _american
legends   fallen,25-07-2013,documentary,mia davis james williams,daniel ford,5.34,cultural,194.08,european,legends   fallen _european
lost   stars,16-03-1986,thriller,olivia martinez olivia miller,catherine hayes,8.98,disability,495.66,African,lost   stars _African
legends   fallen,17-10-1988,comedy,william williams noah miller,laura scott,8.43,gender,37.5,African,legends   fallen _African
forgotten voyage,05-08-2015,fantasy,emma hernandez noah martinez,laura scott,5.13,gender,226.71,African,forgotten voyage _African
forgotten voyage,12-07-2000,drama,emma martinez emma brown,laura scott,8.92,disability,310.08,African,forgotten voyage _African
legends   fallen,13-08-2017,documentary,william hernandez emma brown,daniel ford,5.48,disability,69.99,european,legends   fallen _european
whispers   wind,13-08-1986,scifi,william johnson olivia garcia,michael carter,9.27,disability,148.96,american,whispers   wind _american
whispers   wind,16-06-1998,scifi,sophia davis olivia johnson,laura scott,6.82,age,352.47,African,whispers   wind _African
final hour,09-10-1984,action,john miller isabella johnson,laura scott,6.76,age,322.97,African,final hour _African
secrets   valley,13-10-1984,drama,emma jones william brown,emily adams,9.07,disability,318.34,european,secrets   valley _european
final hour,18-03-1989,scifi,liam garcia mia johnson,daniel ford,7.52,race,383.57,european,final hour _european
lost   stars,15-12-1997,fantasy,olivia brown james johnson,michael carter,6.01,cultural,244.53,american,lost   stars _american
secrets   valley,07-11-2022,thriller,liam jones sophia garcia,michael carter,7.14,race,367.63,american,secrets   valley _american
legends   fallen,23-02-1994,comedy,olivia miller isabella johnson,emily adams,7.69,lgbtq,140.2,european,legends   fallen _european
final hour,26-11-2002,documentary,sophia smith mia garcia,emily adams,7.87,gender,212.61,european,final hour _european
shadows rising,21-11-2016,fantasy,william martinez isabella jones,catherine hayes,6.43,age,94.85,African,shadows rising _African
forgotten voyage,15-03-2010,fantasy,sophia jones liam smith,laura scott,5.05,race,326.49,African,forgotten voyage _African
golden horizon,26-12-2022,scifi,mia garcia william martinez,daniel ford,8.31,age,359.85,european,golden horizon _european
breaking chains,22-08-2002,scifi,olivia miller william hernandez,daniel ford,6.05,disability,229.64,european,breaking chains _european
lost   stars,27-10-1985,comedy,sophia brown emma johnson,catherine hayes,6.22,cultural,454.58,African,lost   stars _African
legends   fallen,06-04-2000,comedy,william hernandez john smith,michael carter,7.64,gender,65.6,american,legends   fallen _american
legends   fallen,18-06-2006,action,isabella garcia isabella brown,emily adams,5.22,lgbtq,282.3,european,legends   fallen _european
final hour,04-09-2019,thriller,isabella smith isabella miller,steven miller,5.07,lgbtq,124.93,american,final hour _american
golden horizon,16-07-2007,action,isabella smith isabella jones,laura scott,6.37,race,487.39,African,golden horizon _African
golden horizon,22-01-1986,action,james johnson john jones,michael carter,7.03,lgbtq,219,american,golden horizon _american
legends   fallen,04-04-2015,documentary,noah smith emma hernandez,daniel ford,9.24,race,341.95,european,legends   fallen _european
legends   fallen,19-12-1986,scifi,james brown olivia davis,daniel ford,9.34,lgbtq,227.93,european,legends   fallen _european
legends   fallen,26-07-1993,action,liam johnson william jones,catherine hayes,6.24,race,316.52,African,legends   fallen _African
final hour,17-08-2003,scifi,sophia brown isabella davis,michael carter,7.08,lgbtq,236.22,american,final hour _american
forgotten voyage,21-07-2019,documentary,james miller mia miller,laura scott,7.65,race,400.78,African,forgotten voyage _African
lost   stars,13-10-2010,thriller,sophia garcia james jones,emily adams,9.32,race,298.6,european,lost   stars _european
golden horizon,09-04-2013,documentary,john miller sophia jones,laura scott,5.61,disability,307.78,African,golden horizon _African
golden horizon,24-10-1995,fantasy,isabella martinez james hernandez,catherine hayes,6.49,disability,65.86,African,golden horizon _African
legends   fallen,06-09-1994,fantasy,sophia smith james garcia,emily adams,5.05,cultural,43.19,european,legends   fallen _european
secrets   valley,08-12-1990,comedy,john davis john martinez,emily adams,5.24,cultural,287,european,secrets   valley _european
lost   stars,13-10-1989,comedy,sophia garcia noah williams,michael carter,5.04,age,182.8,american,lost   stars _american
forgotten voyage,06-08-2006,drama,emma smith noah williams,steven miller,9.98,gender,313.89,american,forgotten voyage _american
shadows rising,01-12-1985,fantasy,isabella davis noah williams,steven miller,6.6,gender,246.51,american,shadows rising _american
secrets   valley,04-01-2011,comedy,liam garcia olivia williams,michael carter,7.93,cultural,265.75,american,secrets   valley _american
final hour,04-02-1990,action,isabella jones isabella brown,catherine hayes,8.93,gender,426.26,middleeastern,final hour _middleeastern
final hour,19-12-2018,comedy,sophia johnson emma miller,emily adams,8.12,disability,295.25,european,final hour _european
legends   fallen,17-12-1983,thriller,isabella jones john williams,steven miller,5.91,cultural,118.27,american,legends   fallen _american
whispers   wind,09-09-1984,thriller,olivia martinez sophia hernandez,emily adams,8.35,age,434.14,european,whispers   wind _european
secrets   valley,28-08-2019,drama,william smith sophia garcia,steven miller,5.26,age,331.68,american,secrets   valley _american
breaking chains,09-05-2016,thriller,john garcia liam brown,emily adams,7.21,race,295.34,european,breaking chains _european
secrets   valley,11-06-1981,action,sophia martinez william brown,emily adams,9.04,cultural,475.37,european,secrets   valley _european
golden horizon,16-02-2018,action,john johnson olivia williams,steven miller,7.13,lgbtq,73.3,american,golden horizon _american
legends   fallen,27-09-1983,action,john williams sophia hernandez,michael carter,7.49,cultural,173.81,american,legends   fallen _american
whispers   wind,16-04-2002,drama,liam williams mia hernandez,daniel ford,7.38,race,53.62,european,whispers   wind _european
legends   fallen,04-02-2012,scifi,liam garcia sophia smith,catherine hayes,8.68,cultural,293.56,middleeastern,legends   fallen _middleeastern
legends   fallen,13-06-1983,fantasy,james hernandez sophia williams,steven miller,9.05,cultural,471.64,american,legends   fallen _american
legends   fallen,05-03-1992,drama,mia johnson noah davis,catherine hayes,8.19,cultural,319.54,middleeastern,legends   fallen _middleeastern
forgotten voyage,11-04-1986,fantasy,noah martinez mia johnson,emily adams,5.04,age,371.58,european,forgotten voyage _european
breaking chains,17-08-1997,fantasy,james garcia olivia martinez,laura scott,9.8,age,443.59,Asian,breaking chains _Asian
golden horizon,22-12-2006,comedy,mia smith isabella williams,laura scott,9.38,disability,354.64,Asian,golden horizon _Asian
echoes  eternity,06-02-2010,documentary,william johnson mia martinez,laura scott,7.05,gender,356.53,Asian,echoes  eternity _Asian
shadows rising,14-02-1987,scifi,mia smith olivia hernandez,steven miller,8.41,cultural,153.8,american,shadows rising _american
legends   fallen,05-08-2002,documentary,sophia jones sophia martinez,daniel ford,5.12,gender,440.88,european,legends   fallen _european
secrets   valley,09-07-1982,fantasy,mia brown isabella garcia,catherine hayes,5.03,lgbtq,370.47,Asian,secrets   valley _Asian
breaking chains,06-05-1995,fantasy,liam smith noah garcia,emily adams,7.53,cultural,345.72,european,breaking chains _european
breaking chains,24-11-1983,thriller,emma garcia sophia martinez,laura scott,7.83,cultural,180.8,middleeastern,breaking chains _middleeastern
golden horizon,24-06-1991,fantasy,william johnson noah hernandez,catherine hayes,9.54,gender,248.58,Asian,golden horizon _Asian
echoes  eternity,07-04-2010,thriller,john garcia sophia davis,laura scott,9.51,disability,100.12,African,echoes  eternity _African
golden horizon,19-07-1994,documentary,william garcia olivia martinez,catherine hayes,6.44,lgbtq,380.37,African,golden horizon _African
breaking chains,26-03-2005,thriller,isabella hernandez noah smith,laura scott,9.6,race,248.23,middleeastern,breaking chains _middleeastern
shadows rising,10-01-2003,scifi,sophia garcia isabella miller,catherine hayes,9.28,race,96.76,Asian,shadows rising _Asian
echoes  eternity,14-06-2002,documentary,mia martinez olivia smith,laura scott,8.77,cultural,115.73,middleeastern,echoes  eternity _middleeastern
golden horizon,14-11-1982,drama,olivia hernandez james martinez,michael carter,7.62,race,13.62,american,golden horizon _american
golden horizon,23-09-2019,documentary,john johnson olivia brown,emily adams,7.52,age,67.01,european,golden horizon _european
breaking chains,28-10-2023,thriller,sophia martinez sophia miller,laura scott,6.14,gender,386.49,Asian,breaking chains _Asian
echoes  eternity,06-12-1983,drama,liam smith liam garcia,laura scott,9.27,race,152.03,Asian,echoes  eternity _Asian
final hour,11-09-1988,action,john davis mia williams,daniel ford,7.32,age,315.59,european,final hour _european
legends   fallen,03-04-2011,fantasy,mia jones james martinez,emily adams,8.6,lgbtq,229.26,european,legends   fallen _european
golden horizon,24-12-1980,action,james williams john hernandez,catherine hayes,8.22,age,441.11,Asian,golden horizon _Asian
forgotten voyage,23-05-2012,documentary,james martinez liam williams,steven miller,8.81,race,216.79,american,forgotten voyage _american
golden horizon,20-08-1997,comedy,william jones sophia johnson,steven miller,6.66,lgbtq,395.57,american,golden horizon _american
whispers   wind,18-12-1996,comedy,liam hernandez isabella miller,daniel ford,8.04,gender,52.16,european,whispers   wind _european
shadows rising,09-07-1985,thriller,olivia williams james hernandez,laura scott,5.41,age,348.61,Asian,shadows rising _Asian
secrets   valley,03-12-2006,drama,isabella miller sophia garcia,michael carter,9.09,age,66.6,american,secrets   valley _american
lost   stars,20-10-1999,action,liam johnson james garcia,daniel ford,6.78,lgbtq,70.44,european,lost   stars _european
echoes  eternity,07-02-1984,fantasy,william garcia emma martinez,emily adams,5.6,age,462.28,european,echoes  eternity _european
breaking chains,15-11-2017,documentary,sophia martinez mia hernandez,catherine hayes,9.06,age,485.65,Asian,breaking chains _Asian
golden horizon,19-04-1995,drama,william garcia sophia martinez,laura scott,5.21,disability,252.19,Asian,golden horizon _Asian
legends   fallen,27-03-1996,comedy,olivia williams mia garcia,catherine hayes,8.82,race,481.29,Asian,legends   fallen _Asian
legends   fallen,13-12-1982,scifi,olivia smith sophia smith,michael carter,6.57,age,214.52,american,legends   fallen _american
shadows rising,13-12-2017,thriller,isabella brown james miller,steven miller,7.07,lgbtq,72.97,american,shadows rising _american
whispers   wind,10-07-2014,fantasy,isabella martinez sophia martinez,michael carter,5.96,gender,123.79,american,whispers   wind _american
golden horizon,11-06-1982,fantasy,isabella jones james jones,emily adams,7,age,280.36,european,golden horizon _european
secrets   valley,18-09-2010,thriller,isabella martinez emma jones,steven miller,5.93,age,428.07,american,secrets   valley _american
shadows rising,01-06-2011,comedy,william smith mia garcia,laura scott,5.66,lgbtq,334.47,Asian,shadows rising _Asian
forgotten voyage,16-10-2016,fantasy,liam hernandez olivia davis,steven miller,5.44,age,465.18,american,forgotten voyage _american
final hour,08-01-1985,fantasy,noah hernandez emma miller,michael carter,9.38,disability,408.68,american,final hour _american
echoes  eternity,25-12-2001,comedy,liam johnson noah hernandez,steven miller,6.45,disability,295.59,american,echoes  eternity _american
lost   stars,09-03-2000,comedy,john davis william martinez,laura scott,7.35,age,356.16,Asian,lost   stars _Asian
whispers   wind,17-10-1986,scifi,sophia miller william miller,catherine hayes,6.01,lgbtq,490.88,Asian,whispers   wind _Asian
secrets   valley,26-04-2015,thriller,emma miller mia davis,catherine hayes,8.41,gender,153.62,Asian,secrets   valley _Asian
lost   stars,25-06-2004,documentary,isabella garcia isabella williams,michael carter,7.07,gender,85.56,american,lost   stars _american
shadows rising,03-12-2009,drama,emma garcia john miller,emily adams,7.52,age,399.04,european,shadows rising _european
secrets   valley,16-07-2016,fantasy,emma johnson james smith,laura scott,9.04,cultural,91.06,Asian,secrets   valley _Asian
breaking chains,27-07-2005,documentary,william brown olivia martinez,emily adams,5.89,age,218.32,european,breaking chains _european
legends   fallen,13-08-2012,thriller,william smith sophia davis,laura scott,6.7,age,50.96,Asian,legends   fallen _Asian
legends   fallen,06-12-2022,scifi,william garcia emma martinez,catherine hayes,8.19,gender,413.35,Asian,legends   fallen _Asian
forgotten voyage,12-03-2009,scifi,john williams noah martinez,michael carter,6.88,disability,254.76,american,forgotten voyage _american
forgotten voyage,25-12-1991,documentary,sophia johnson john brown,laura scott,5.07,lgbtq,402.57,Asian,forgotten voyage _Asian
golden horizon,17-07-1996,documentary,sophia smith isabella davis,michael carter,9.29,gender,75.41,american,golden horizon _american
legends   fallen,12-11-1998,comedy,sophia smith william jones,daniel ford,8.56,cultural,480.65,european,legends   fallen _european
breaking chains,02-06-2018,drama,sophia smith noah johnson,michael carter,7.09,cultural,373.6,american,breaking chains _american
lost   stars,15-06-2021,drama,olivia johnson olivia jones,catherine hayes,5.18,age,68.71,Asian,lost   stars _Asian
final hour,13-10-1993,thriller,mia miller james smith,emily adams,8.07,cultural,129.88,european,final hour _european
echoes  eternity,05-06-2012,documentary,sophia hernandez james smith,daniel ford,8.1,gender,208.22,european,echoes  eternity _european
breaking chains,24-06-2023,action,liam martinez james williams,daniel ford,6.12,age,292.88,european,breaking chains _european
forgotten voyage,25-05-2012,comedy,noah smith liam davis,steven miller,9.67,age,467.26,american,forgotten voyage _american
echoes  eternity,03-01-2001,fantasy,mia garcia liam martinez,steven miller,5.27,race,252.92,american,echoes  eternity _american
breaking chains,12-04-1991,comedy,isabella williams liam miller,emily adams,7.26,age,434.45,european,breaking chains _european
legends   fallen,15-12-2003,documentary,mia garcia mia johnson,daniel ford,9.82,race,372.01,european,legends   fallen _european
echoes  eternity,14-06-1982,comedy,olivia brown sophia smith,catherine hayes,7.98,lgbtq,149.48,Asian,echoes  eternity _Asian
whispers   wind,06-12-2015,fantasy,john hernandez emma brown,emily adams,7.62,race,14.35,european,whispers   wind _european
echoes  eternity,27-11-2018,drama,emma davis james hernandez,steven miller,5.6,lgbtq,330.36,american,echoes  eternity _american
golden horizon,27-11-2017,thriller,noah davis liam johnson,emily adams,8.91,disability,450.89,european,golden horizon _european
forgotten voyage,03-07-2006,action,olivia hernandez sophia hernandez,steven miller,8.68,gender,196.41,american,forgotten voyage _american
echoes  eternity,22-05-2009,comedy,james jones james jones,laura scott,7.44,lgbtq,491.39,Asian,echoes  eternity _Asian
forgotten voyage,11-03-1991,thriller,william hernandez john miller,daniel ford,7.41,disability,169.8,european,forgotten voyage _european
forgotten voyage,22-06-1989,fantasy,john martinez sophia williams,emily adams,9.03,disability,274.71,european,forgotten voyage _european
final hour,27-04-2018,thriller,emma miller noah miller,laura scott,5.24,age,479.3,Asian,final hour _Asian
shadows rising,23-02-1998,fantasy,noah davis sophia smith,emily adams,6.73,race,103.05,european,shadows rising _european
echoes  eternity,01-09-2003,documentary,sophia williams olivia miller,michael carter,7.42,age,159.37,american,echoes  eternity _american
final hour,24-05-2010,thriller,liam johnson noah davis,daniel ford,9.77,cultural,220.24,european,final hour _european
breaking chains,10-11-1980,comedy,noah smith liam miller,emily adams,5.73,race,453.73,european,breaking chains _european
echoes  eternity,24-06-2000,thriller,william davis emma johnson,emily adams,7.6,cultural,398.81,european,echoes  eternity _european
breaking chains,21-12-2019,fantasy,john martinez james davis,emily adams,8.49,disability,238.15,european,breaking chains _european
echoes  eternity,18-11-2019,action,isabella martinez emma miller,laura scott,9.73,race,409.05,Asian,echoes  eternity _Asian
shadows rising,16-07-2022,scifi,sophia martinez william martinez,daniel ford,6.55,disability,385.23,european,shadows rising _european
whispers   wind,16-09-1996,action,emma hernandez mia smith,catherine hayes,9.47,lgbtq,74.21,Asian,whispers   wind _Asian
secrets   valley,20-04-2001,action,james martinez john garcia,emily adams,9.99,age,175.82,european,secrets   valley _european
echoes  eternity,17-12-2021,scifi,emma smith sophia miller,daniel ford,5.97,lgbtq,480.88,european,echoes  eternity _european
echoes  eternity,01-12-1999,scifi,sophia martinez sophia jones,emily adams,8.72,lgbtq,316.39,european,echoes  eternity _european
golden horizon,18-06-2010,comedy,liam jones isabella davis,laura scott,7.14,race,243.49,Asian,golden horizon _Asian
breaking chains,19-12-1993,scifi,noah williams liam williams,steven miller,9.31,disability,100.97,american,breaking chains _american
final hour,06-03-2015,comedy,isabella brown isabella johnson,laura scott,5.18,age,191.58,Asian,final hour _Asian
legends   fallen,25-04-2012,comedy,noah jones liam miller,catherine hayes,7.21,race,311.73,Asian,legends   fallen _Asian
echoes  eternity,12-07-2021,fantasy,john jones isabella johnson,laura scott,5.58,lgbtq,76.39,Asian,echoes  eternity _Asian
forgotten voyage,28-08-2003,documentary,noah brown james martinez,michael carter,9.31,cultural,45.26,american,forgotten voyage _american
forgotten voyage,25-07-2014,action,noah williams john jones,emily adams,6.33,gender,76.01,european,forgotten voyage _european
whispers   wind,07-04-1999,fantasy,noah brown james garcia,michael carter,5.68,age,288.3,american,whispers   wind _american
breaking chains,10-07-1988,scifi,william jones noah williams,laura scott,5.63,lgbtq,228.8,Asian,breaking chains _Asian
golden horizon,01-09-1983,drama,john brown olivia brown,steven miller,7.72,race,364.66,american,golden horizon _american
forgotten voyage,13-09-1985,fantasy,isabella davis james jones,emily adams,8.96,lgbtq,129.44,european,forgotten voyage _european
final hour,02-10-2014,comedy,john miller olivia williams,catherine hayes,5.44,lgbtq,272.3,Asian,final hour _Asian
final hour,03-02-2006,comedy,james smith mia jones,michael carter,7.71,age,482.88,american,final hour _american
forgotten voyage,25-10-1983,thriller,william hernandez james johnson,catherine hayes,9.42,disability,421.17,Asian,forgotten voyage _Asian
whispers   wind,06-06-1980,drama,emma garcia james williams,michael carter,6.72,age,332.09,american,whispers   wind _american
legends   fallen,13-02-1985,fantasy,olivia williams william brown,laura scott,6.61,lgbtq,419.14,Asian,legends   fallen _Asian
final hour,20-10-2023,comedy,sophia martinez mia williams,michael carter,9.66,race,344.83,american,final hour _american
secrets   valley,01-03-1991,drama,emma hernandez emma jones,michael carter,9.14,cultural,183,american,secrets   valley _american
secrets   valley,15-04-1983,thriller,sophia johnson john brown,daniel ford,5.62,gender,162.18,european,secrets   valley _european
final hour,20-05-2014,scifi,mia johnson mia jones,emily adams,6.04,race,169.89,european,final hour _european
final hour,02-06-1985,thriller,noah williams olivia brown,michael carter,8.8,gender,156.71,american,final hour _american
echoes  eternity,13-02-2011,fantasy,john williams william garcia,michael carter,9.43,disability,439.94,american,echoes  eternity _american
shadows rising,28-10-2019,comedy,william smith liam johnson,emily adams,9.48,age,468.78,european,shadows rising _european
shadows rising,11-06-2020,comedy,james hernandez emma hernandez,laura scott,6.41,gender,247.77,Asian,shadows rising _Asian
forgotten voyage,20-01-1989,fantasy,james hernandez emma smith,catherine hayes,9.51,age,427.7,Asian,forgotten voyage _Asian
lost   stars,11-08-2018,action,james johnson isabella smith,emily adams,8.35,gender,402.62,european,lost   stars _european
final hour,02-11-1991,thriller,emma martinez sophia johnson,michael carter,5.44,lgbtq,196.18,american,final hour _american
secrets   valley,25-10-1986,action,mia hernandez emma jones,emily adams,5.27,disability,261.31,european,secrets   valley _european
whispers   wind,06-12-2022,action,mia jones john smith,catherine hayes,6.67,disability,19.19,Asian,whispers   wind _Asian
lost   stars,24-06-2021,scifi,emma brown james miller,catherine hayes,6.89,lgbtq,372.04,Asian,lost   stars _Asian
echoes  eternity,23-07-2014,documentary,john brown liam davis,laura scott,7.35,age,293.34,Asian,echoes  eternity _Asian
whispers   wind,18-09-2016,thriller,john jones emma johnson,michael carter,7.97,cultural,294.86,american,whispers   wind _american
secrets   valley,09-02-1986,fantasy,noah hernandez john williams,laura scott,5.31,disability,126.89,Asian,secrets   valley _Asian
echoes  eternity,15-10-2019,documentary,olivia williams olivia smith,laura scott,7.77,gender,399.98,Asian,echoes  eternity _Asian
final hour,16-12-2002,action,mia miller sophia smith,steven miller,7.52,gender,291.45,american,final hour _american
final hour,21-03-1984,action,william martinez liam brown,laura scott,8.72,age,398.95,Asian,final hour _Asian
secrets   valley,27-10-1987,drama,sophia davis emma miller,emily adams,7.06,disability,283.89,european,secrets   valley _european
lost   stars,04-06-2008,fantasy,john brown liam miller,emily adams,9.06,disability,223.61,european,lost   stars _european
whispers   wind,02-10-1981,scifi,james williams emma davis,emily adams,5.34,disability,67.28,european,whispers   wind _european
whispers   wind,15-10-2017,fantasy,liam davis mia martinez,catherine hayes,6,age,21.82,Asian,whispers   wind _Asian
final hour,16-08-1985,thriller,emma martinez mia williams,laura scott,7.23,disability,68.39,Asian,final hour _Asian
breaking chains,15-08-1997,documentary,sophia garcia emma johnson,michael carter,8.41,gender,16.73,american,breaking chains _american
shadows rising,26-06-2001,fantasy,mia davis james davis,michael carter,8.9,age,489.98,american,shadows rising _american
forgotten voyage,03-09-1986,documentary,olivia johnson isabella garcia,michael carter,8.39,lgbtq,227.97,american,forgotten voyage _american
forgotten voyage,04-09-1996,drama,emma garcia john garcia,emily adams,9.53,race,486.01,european,forgotten voyage _european
golden horizon,18-06-2000,documentary,noah williams emma miller,michael carter,9.18,age,128.06,american,golden horizon _american
breaking chains,03-05-1996,scifi,john martinez liam garcia,daniel ford,9.34,cultural,39.61,european,breaking chains _european
final hour,06-05-2001,drama,mia martinez liam brown,steven miller,5.31,lgbtq,306.91,american,final hour _american
whispers   wind,19-08-1998,action,noah garcia emma jones,emily adams,8.01,cultural,460.62,european,whispers   wind _european
secrets   valley,13-12-2003,thriller,sophia brown emma miller,daniel ford,6.65,lgbtq,188.8,european,secrets   valley _european
legends   fallen,21-09-2002,drama,mia johnson john johnson,daniel ford,9.71,lgbtq,256.22,european,legends   fallen _european
secrets   valley,27-06-2005,comedy,william johnson isabella brown,emily adams,9.02,cultural,342.42,european,secrets   valley _european
secrets   valley,24-11-2023,fantasy,isabella miller mia hernandez,michael carter,8.06,age,20.38,american,secrets   valley _american
final hour,10-10-1996,comedy,sophia miller john garcia,daniel ford,7.99,age,195.71,european,final hour _european
whispers   wind,13-04-2014,action,mia martinez sophia davis,emily adams,5.32,race,474.05,european,whispers   wind _european
echoes  eternity,14-10-1990,scifi,isabella hernandez sophia garcia,laura scott,7.82,age,36.06,Asian,echoes  eternity _Asian
lost   stars,28-04-2011,comedy,noah brown mia hernandez,michael carter,7.76,gender,433.16,american,lost   stars _american
lost   stars,25-09-2016,thriller,john johnson isabella davis,laura scott,8.02,cultural,219.68,Asian,lost   stars _Asian
final hour,14-09-2011,fantasy,liam miller william williams,daniel ford,9.67,gender,364,european,final hour _european
lost   stars,14-11-1989,documentary,liam johnson mia williams,michael carter,9.22,disability,247.88,american,lost   stars _american
final hour,22-05-2018,thriller,james smith james smith,laura scott,9.51,gender,283.81,Asian,final hour _Asian
legends   fallen,01-02-1994,drama,john hernandez liam johnson,emily adams,9.46,lgbtq,37.02,european,legends   fallen _european
forgotten voyage,06-08-1996,comedy,isabella brown liam johnson,michael carter,5.11,race,182.11,american,forgotten voyage _american
golden horizon,25-12-2002,fantasy,mia hernandez sophia williams,michael carter,9.08,lgbtq,416.27,american,golden horizon _american
breaking chains,24-03-1984,comedy,mia brown liam garcia,michael carter,7.17,age,267.79,american,breaking chains _american
echoes  eternity,13-04-1996,scifi,mia miller olivia brown,michael carter,6.5,cultural,122.88,american,echoes  eternity _american
forgotten voyage,24-12-2016,drama,william miller james smith,catherine hayes,7.92,lgbtq,355.94,Asian,forgotten voyage _Asian
legends   fallen,08-09-2011,action,mia garcia john brown,michael carter,5.66,race,72.31,american,legends   fallen _american
golden horizon,14-10-2008,action,sophia hernandez liam johnson,emily adams,8.42,age,401.12,european,golden horizon _european
golden horizon,13-12-1991,comedy,mia garcia liam smith,daniel ford,9.88,cultural,263.24,european,golden horizon _european
legends   fallen,20-07-1985,documentary,liam brown john garcia,steven miller,5.67,race,41.24,american,legends   fallen _american
